Fecha,Precio_Predicho
2025-08-01,53874
2025-09-01,52700
2025-10-01,51683
2025-11-01,50971
2025-12-01,50587
2026-01-01,50546
2026-02-01,50538
2026-03-01,50575
2026-04-01,50621
2026-05-01,50502
2026-06-01,49939
2026-07-01,49220
2026-08-01,48433
2026-09-01,47559
2026-10-01,46810
2026-11-01,46296
2026-12-01,46097
2027-01-01,46228
2027-02-01,46422
2027-03-01,46662
2027-04-01,46903
2027-05-01,46963
2027-06-01,46578
2027-07-01,46048
