Fecha,Precio_Real,Precio_Predicho,Cuarentena_Covid,Error_Absoluto,Error_Porcentual_pct,Error_Relativo_pct
2024-05-01,650.0,647.5376676887938,0,2.4623323112061826,0.3788203555701819,0.3788203555701819
2024-06-01,650.0,648.5868353692208,0,1.4131646307791925,0.21740994319679885,0.21740994319679885
2024-07-01,650.0,649.9571768293704,0,0.04282317062961738,0.006588180096864212,0.006588180096864212
2024-08-01,650.0,650.792228656649,0,-0.7922286566489447,0.12188133179214534,-0.12188133179214534
2024-09-01,650.0,651.8628079223909,0,-1.8628079223908571,0.28658583421397804,-0.28658583421397804
2024-10-01,650.0,652.5693902377805,0,-2.5693902377804534,0.39529080581237747,-0.39529080581237747
2024-11-01,650.0,652.6550365790398,0,-2.655036579039802,0.40846716600612337,-0.40846716600612337
2024-12-01,650.0,651.2418719482606,0,-1.2418719482606093,0.19105722280932452,-0.19105722280932452
2025-01-01,650.0,649.7858841468517,0,0.21411585314831427,0.032940900484356044,0.032940900484356044
2025-02-01,650.0,649.6360030496478,0,0.3639969503522025,0.05599953082341577,0.05599953082341577
2025-03-01,650.0,649.6574146349626,0,0.3425853650373938,0.05270544077498366,0.05270544077498366
2025-04-01,650.0,648.5011890279615,0,1.498810972038541,0.23058630339054476,0.23058630339054476
2025-05-01,650.0,643.5551128202341,0,6.444887179765942,0.9915211045793758,0.9915211045793758
2025-06-01,650.0,641.8207744097323,0,8.17922559026772,1.258342398502726,1.258342398502726
2025-07-01,650.0,644.7327500125501,0,5.267249987449873,0.810346151915365,0.810346151915365
