Fecha,Precio_Predicho
2025-08-01,646
2025-09-01,650
2025-10-01,656
2025-11-01,662
2025-12-01,666
2026-01-01,669
2026-02-01,671
2026-03-01,672
2026-04-01,671
2026-05-01,669
2026-06-01,663
2026-07-01,659
2026-08-01,661
2026-09-01,665
2026-10-01,672
2026-11-01,677
2026-12-01,681
2027-01-01,685
2027-02-01,686
2027-03-01,686
2027-04-01,686
2027-05-01,684
2027-06-01,678
2027-07-01,675
