Fecha,Media_Sin_Covid,IC_Inf_Sin_Covid,IC_Sup_Sin_Covid,Media_Con_Covid,IC_Inf_Con_Covid,IC_Sup_Con_Covid,Diferencia_Covid,Nivel_Rio_Exog
2025-08-01,651.0316862357147,624.4156452033476,677.6477272680818,650.2058843439506,623.5898433115835,676.8219253763177,-0.8258018917640584,1.97
2025-09-01,652.5694827002704,614.9287164956181,690.2102489049228,651.7436808085064,614.1029146038541,689.3844470131587,-0.8258018917640584,1.18
2025-10-01,653.153456041241,607.0531206768433,699.2537914056388,652.327654149477,606.2273187850792,698.4279895138748,-0.8258018917640584,0.88
2025-11-01,652.7252089245293,599.4931268597952,705.9572909892634,651.8994070327652,598.6673249680312,705.1314890974993,-0.8258018917640584,1.1
2025-12-01,652.8614693707557,593.3461923304592,712.3767464110522,652.0356674789916,592.5203904386951,711.5509445192881,-0.8258018917640584,1.03
2026-01-01,652.0828382494616,586.8871187471823,717.2785577517409,651.2570363576975,586.0613168554182,716.4527558599768,-0.8258018917640584,1.43
2026-02-01,651.9660435812675,581.5466181245334,722.3854690380016,651.1402416895035,580.7208162327694,721.5596671462375,-0.8258018917640584,1.49
2026-03-01,652.2385644737204,576.9570320644158,727.5200968830251,651.4127625819564,576.1312301726517,726.694294991261,-0.8258018917640584,1.35
2026-04-01,651.5767280206205,571.7286049235194,731.4248511177217,650.7509261288565,570.9028030317553,730.5990492259576,-0.8258018917640584,1.69
2026-05-01,648.7736559839618,564.6063440251826,732.940967942741,647.9478540921978,563.7805421334185,732.115166050977,-0.8258018917640584,3.13
2026-06-01,647.9171617505383,559.6417402414731,736.1925832596035,647.0913598587742,558.8159383497091,735.3667813678394,-0.8258018917640584,3.57
2026-07-01,648.8904506521559,556.6897799233604,741.0911213809513,648.0646487603918,555.8639780315964,740.2653194891873,-0.8258018917640584,3.07
2026-08-01,650.0778631121294,554.1123624200765,746.0433638041824,649.2520612203654,553.2865605283124,745.2175619124183,-0.8258018917640584,2.46
2026-09-01,651.7519200229117,552.1638134874771,751.3400265583463,650.9261181311476,551.338011595713,750.5142246665822,-0.8258018917640584,1.6
2026-10-01,652.374824919947,549.291341259616,755.4583085802778,651.5490230281829,548.465539367852,754.6325066885138,-0.8258018917640584,1.28
2026-11-01,652.0439066933969,545.5797425639287,758.5080708228652,651.2181048016329,544.7539406721646,757.6822689311011,-0.8258018917640584,1.45
2026-12-01,652.1801671396234,542.4394186274003,761.9209156518466,651.3543652478594,541.6136167356362,761.0951137600825,-0.8258018917640584,1.38
2027-01-01,651.4599333524263,538.5376347384695,764.3822319663832,650.6341314606623,537.7118328467054,763.5564300746191,-0.8258018917640584,1.75
2027-02-01,651.4015360183294,535.3849028811094,767.4181691555493,650.5757341265653,534.5591009893453,766.5923672637853,-0.8258018917640584,1.78
2027-03-01,651.7324542448794,532.7019001642865,770.7630083254722,650.9066523531152,531.8760982725223,769.9372064337081,-0.8258018917641721,1.61
2027-04-01,651.0900835698117,529.120060838939,773.0601063006843,650.2642816780476,528.294258947175,772.2343044089203,-0.8258018917640584,1.94
2027-05-01,648.3454088672501,523.5051105449285,773.1857071895716,647.519606975486,522.6793086531644,772.3599052978076,-0.8258018917640584,3.35
2027-06-01,647.5278461898913,519.8817975810805,775.1738947987021,646.7020442981272,519.0559956893164,774.3480929069381,-0.8258018917640584,3.77
2027-07-01,647.508380411859,517.1169414073004,777.8998194164176,646.6825785200949,516.2911395155363,777.0740175246535,-0.8258018917640584,3.78
