Fecha,Precio_Real,Precio_Predicho,Error
2023-10-01,650.0,652.4252218477038,-2.425221847703824
2023-11-01,650.0,652.3811269050184,-2.381126905018391
2023-12-01,650.0,651.1685159811664,-1.1685159811663652
2024-01-01,650.0,653.7039751855841,-3.703975185584113
2024-02-01,650.0,654.7181588673512,-4.718158867351235
2024-03-01,650.0,654.7181588673512,-4.718158867351235
2024-04-01,650.0,654.8504436954078,-4.850443695407762
2024-05-01,650.0,652.31498449099,-2.314984490990014
2024-06-01,650.0,653.3953105867854,-3.395310586785399
2024-07-01,650.0,654.8063487527222,-4.806348752722215
2024-08-01,650.0,655.66620013509,-5.66620013508998
2024-09-01,650.0,656.7685737022281,-6.768573702228082
2024-10-01,650.0,657.4961402565393,-7.49614025653932
2024-11-01,650.0,657.5843301419103,-7.5843301419103
2024-12-01,650.0,656.1291970332879,-6.129197033287937
2025-01-01,650.0,654.6299689819801,-4.6299689819801415
2025-02-01,650.0,654.4756366825808,-4.4756366825807845
2025-03-01,650.0,654.4976841539236,-4.497684153923615
2025-04-01,650.0,653.3071207014144,-3.3071207014144193
2025-05-01,650.0,648.2141548212362,1.7858451787637932
2025-06-01,650.0,646.4283096424724,3.5716903575275865
2025-07-01,650.0,649.4267657450881,0.5732342549118812
