Fecha,Media,IC_Inferior,IC_Superior,Nivel_Rio_Exog,Cuarentena_Covid
2025-08-01,651.0316862357147,624.4156452033476,677.6477272680818,1.97,0
2025-09-01,652.5694827002704,614.9287164956181,690.2102489049228,1.18,0
2025-10-01,653.153456041241,607.0531206768433,699.2537914056388,0.88,0
2025-11-01,652.7252089245293,599.4931268597952,705.9572909892634,1.1,0
2025-12-01,652.8614693707557,593.3461923304592,712.3767464110522,1.03,0
2026-01-01,652.0828382494616,586.8871187471823,717.2785577517409,1.43,0
2026-02-01,651.9660435812675,581.5466181245334,722.3854690380016,1.49,0
2026-03-01,652.2385644737204,576.9570320644158,727.5200968830251,1.35,0
2026-04-01,651.5767280206205,571.7286049235194,731.4248511177217,1.69,0
2026-05-01,648.7736559839618,564.6063440251826,732.940967942741,3.13,0
2026-06-01,647.9171617505383,559.6417402414731,736.1925832596035,3.57,0
2026-07-01,648.8904506521559,556.6897799233604,741.0911213809513,3.07,0
2026-08-01,650.0778631121294,554.1123624200765,746.0433638041824,2.46,0
2026-09-01,651.7519200229117,552.1638134874771,751.3400265583463,1.6,0
2026-10-01,652.374824919947,549.291341259616,755.4583085802778,1.28,0
2026-11-01,652.0439066933969,545.5797425639287,758.5080708228652,1.45,0
2026-12-01,652.1801671396234,542.4394186274003,761.9209156518466,1.38,0
2027-01-01,651.4599333524263,538.5376347384695,764.3822319663832,1.75,0
2027-02-01,651.4015360183294,535.3849028811094,767.4181691555493,1.78,0
2027-03-01,651.7324542448794,532.7019001642865,770.7630083254722,1.61,0
2027-04-01,651.0900835698117,529.120060838939,773.0601063006843,1.94,0
2027-05-01,648.3454088672501,523.5051105449285,773.1857071895716,3.35,0
2027-06-01,647.5278461898913,519.8817975810805,775.1738947987021,3.77,0
2027-07-01,647.508380411859,517.1169414073004,777.8998194164176,3.78,0
