Fecha,Precio_Predicho
2025-08-01,59825
2025-09-01,60732
2025-10-01,61866
2025-11-01,62715
2025-12-01,63087
2026-01-01,62910
2026-02-01,62493
2026-03-01,61975
2026-04-01,61701
2026-05-01,61758
2026-06-01,61923
2026-07-01,62252
2026-08-01,62721
2026-09-01,63161
2026-10-01,63574
2026-11-01,63850
2026-12-01,63812
2027-01-01,63427
2027-02-01,62839
2027-03-01,62208
2027-04-01,61859
2027-05-01,61865
2027-06-01,61991
2027-07-01,62285
