Fecha,Media,IC_Inferior,IC_Superior,Nivel_Rio_Exog,Cuarentena_Covid
2025-08-01,650.3089382301782,623.6910216430817,676.9268548172747,1.93,0
2025-09-01,651.8343207416827,614.1909021020952,689.4777393812703,1.14,0
2025-10-01,652.3942712838806,606.2906873633991,698.497855204362,0.85,0
2025-11-01,651.9308639386134,598.6950307644204,705.1666971128063,1.09,0
2025-12-01,652.0660244143163,592.5465535061494,711.5854953224832,1.02,0
2026-01-01,651.2743701994849,586.0740565451339,716.4746838538359,1.43,0
2026-02-01,651.158518363168,580.7341306550496,721.5829060712864,1.49,0
2026-03-01,651.4288393145739,576.1420020353987,726.7156765937491,1.35,0
2026-04-01,650.7723455754453,570.918595814156,730.6260953367347,1.69,0
2026-05-01,647.9919015038421,563.8186585202416,732.1651444874426,3.13,0
2026-06-01,647.1423213708522,558.8606793504758,735.4239633912285,3.57,0
2026-07-01,648.107753340159,555.900585499196,740.3149211811219,3.07,0
2026-08-01,649.285580342713,553.3133172419133,745.2578434435128,2.46,0
2026-09-01,650.9461233299206,551.3509991112785,750.5412475485628,1.6,0
2026-10-01,651.5639997902769,548.4732521377141,754.6547474428396,1.28,0
2026-11-01,651.2357529207126,544.7640865723267,757.7074192690984,1.45,0
2026-12-01,651.3709133964155,541.6224317739365,761.1193950188946,1.38,0
2027-01-01,650.6564937391286,537.7262378203658,763.5867496578913,1.75,0
2027-02-01,650.5985678209702,534.5737593302216,766.6233763117187,1.78,0
2027-03-01,650.9268146905345,531.8878728742006,769.9657565068683,1.61,0
2027-04-01,650.2896295907921,528.3110119884019,772.2682471931822,1.94,0
2027-05-01,647.5671114373472,522.7180159835644,772.41620689113,3.35,0
2027-06-01,646.7561485831295,519.1011051298237,774.4111920364353,3.77,0
2027-07-01,646.7368399437435,516.3362126350414,777.1374672524455,3.78,0
