Fecha,Media_Sin_Covid,IC_Inf_Sin_Covid,IC_Sup_Sin_Covid,Media_Con_Covid,IC_Inf_Con_Covid,IC_Sup_Con_Covid,Diferencia_Covid,Nivel_Rio_Exog
2025-08-01,650.3089382301782,623.6910216430817,676.9268548172747,649.4897914579716,622.8718748708751,676.1077080450681,-0.8191467722066363,1.93
2025-09-01,651.8343207416827,614.1909021020952,689.4777393812703,651.0151739694761,613.3717553298885,688.6585926090637,-0.8191467722066363,1.14
2025-10-01,652.3942712838806,606.2906873633991,698.497855204362,651.5751245116741,605.4715405911926,697.6787084321555,-0.8191467722065227,0.85
2025-11-01,651.9308639386134,598.6950307644204,705.1666971128063,651.1117171664068,597.8758839922139,704.3475503405998,-0.8191467722065227,1.09
2025-12-01,652.0660244143163,592.5465535061494,711.5854953224832,651.2468776421098,591.7274067339429,710.7663485502767,-0.8191467722065227,1.02
2026-01-01,651.2743701994849,586.0740565451339,716.4746838538359,650.4552234272783,585.2549097729272,715.6555370816293,-0.8191467722066363,1.43
2026-02-01,651.158518363168,580.7341306550496,721.5829060712864,650.3393715909615,579.9149838828431,720.7637592990799,-0.8191467722065227,1.49
2026-03-01,651.4288393145739,576.1420020353987,726.7156765937491,650.6096925423674,575.3228552631922,725.8965298215426,-0.8191467722065227,1.35
2026-04-01,650.7723455754453,570.918595814156,730.6260953367347,649.9531988032388,570.0994490419495,729.8069485645282,-0.8191467722065227,1.69
2026-05-01,647.9919015038421,563.8186585202416,732.1651444874426,647.1727547316356,562.999511748035,731.3459977152361,-0.8191467722065227,3.13
2026-06-01,647.1423213708522,558.8606793504758,735.4239633912285,646.3231745986457,558.0415325782693,734.604816619022,-0.8191467722065227,3.57
2026-07-01,648.107753340159,555.900585499196,740.3149211811219,647.2886065679523,555.0814387269894,739.4957744089153,-0.8191467722066363,3.07
2026-08-01,649.285580342713,553.3133172419133,745.2578434435128,648.4664335705065,552.4941704697068,744.4386966713063,-0.8191467722065227,2.46
2026-09-01,650.9461233299206,551.3509991112785,750.5412475485628,650.126976557714,550.5318523390719,749.7221007763561,-0.8191467722066363,1.6
2026-10-01,651.5639997902769,548.4732521377141,754.6547474428396,650.7448530180702,547.6541053655075,753.835600670633,-0.8191467722066363,1.28
2026-11-01,651.2357529207126,544.7640865723267,757.7074192690984,650.416606148506,543.9449398001202,756.8882724968919,-0.8191467722065227,1.45
2026-12-01,651.3709133964155,541.6224317739365,761.1193950188946,650.5517666242089,540.8032850017298,760.3002482466879,-0.8191467722066363,1.38
2027-01-01,650.6564937391286,537.7262378203658,763.5867496578913,649.8373469669219,536.9070910481591,762.7676028856847,-0.8191467722066363,1.75
2027-02-01,650.5985678209702,534.5737593302216,766.6233763117187,649.7794210487635,533.754612558015,765.8042295395121,-0.8191467722066363,1.78
2027-03-01,650.9268146905345,531.8878728742006,769.9657565068683,650.1076679183278,531.068726101994,769.1466097346616,-0.8191467722066363,1.61
2027-04-01,650.2896295907921,528.3110119884019,772.2682471931822,649.4704828185854,527.4918652161953,771.4491004209756,-0.8191467722066363,1.94
2027-05-01,647.5671114373472,522.7180159835644,772.41620689113,646.7479646651406,521.8988692113578,771.5970601189233,-0.8191467722066363,3.35
2027-06-01,646.7561485831295,519.1011051298237,774.4111920364353,645.937001810923,518.2819583576172,773.5920452642288,-0.8191467722065227,3.77
2027-07-01,646.7368399437435,516.3362126350414,777.1374672524455,645.9176931715368,515.5170658628348,776.3183204802389,-0.8191467722066363,3.78
